source,date,dataType,dataName,comparisonPreDay,comparisonPreDeclare,comparisonPreSpread
株式会社Agoop,2020-04-08,NA,東京,-24.7,NA,NA
株式会社Agoop,2020-04-08,NA,新橋,-25.7,NA,NA
株式会社Agoop,2020-04-08,NA,新宿,-27.4,NA,NA
株式会社Agoop,2020-04-08,NA,品川,-7.2,NA,NA
株式会社Agoop,2020-04-08,NA,六本木,-23.2,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,渋谷周辺,-27.1,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,横浜周辺,-40.8,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,川崎周辺,-29.4,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,千葉周辺,-33,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,船橋周辺,-20.4,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,浦和周辺,-10.5,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,大宮周辺,-33.2,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,梅田周辺,-35,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,難波周辺,-30.3,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,三ノ宮周辺,-18.2,NA,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-08,NA,天神周辺,-20.4,NA,NA
株式会社Agoop,2020-04-09,NA,東京,-2.1,-26.3,NA
株式会社Agoop,2020-04-09,NA,新橋,-5.7,-29.9,NA
株式会社Agoop,2020-04-09,NA,新宿,1,-26.7,NA
株式会社Agoop,2020-04-09,NA,品川,-18,-33.8,NA
株式会社Agoop,2020-04-09,NA,六本木,1.2,-22.3,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,渋谷周辺,-8.2,-31.3,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,横浜周辺,-4.9,-42.9,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,川崎周辺,-8.8,-32.6,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,千葉周辺,-5.3,-34.6,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,船橋周辺,-4.8,-21.9,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,浦和周辺,-2.8,-9.2,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,大宮周辺,-5.6,-35.3,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,梅田周辺,-13.4,-42.4,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,難波周辺,-4.5,-33.3,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,三ノ宮周辺,-8,-23,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-09,NA,天神周辺,-15.8,-27.6,NA
株式会社Agoop,2020-04-10,NA,東京,-10.3,-33.9,NA
株式会社Agoop,2020-04-10,NA,新橋,2.9,-27.9,NA
株式会社Agoop,2020-04-10,NA,新宿,-7.9,-32.5,NA
株式会社Agoop,2020-04-10,NA,品川,14.7,-24.1,NA
株式会社Agoop,2020-04-10,NA,六本木,20.3,-6.5,NA
NTTドコモ「モバイル空間統計」分析レポート,2020-04-10,NA,渋谷周辺,1.9,-30,-57.7
NTTドコモ「モバイル空間統計」分析レポート,2020-04-10,NA,横浜周辺,1.1,-42.3,-58.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-10,NA,川崎周辺,-1,-33.3,-42.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-10,NA,千葉周辺,2.3,-33.1,-46.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-10,NA,船橋周辺,2.4,-20,-43.8
NTTドコモ「モバイル空間統計」分析レポート,2020-04-10,NA,浦和周辺,1.7,-7.7,-10.9
NTTドコモ「モバイル空間統計」分析レポート,2020-04-10,NA,大宮周辺,3.9,-32.8,-52
