prefecture,area,type,date_from,date_to
北海道,札幌市,other,2021-05-09,2021-05-15
北海道,札幌市,other,2021-06-21,2021-07-11
北海道,札幌市,other,2021-08-14,2021-08-26
北海道,江別市,other,2021-08-14,2021-08-26
北海道,千歳市,other,2021-08-14,2021-08-26
北海道,恵庭市,other,2021-08-14,2021-08-26
北海道,北広島市,other,2021-08-14,2021-08-26
北海道,石狩市,other,2021-08-14,2021-08-26
北海道,石狩郡当別町,other,2021-08-14,2021-08-26
北海道,石狩郡新篠津村,other,2021-08-14,2021-08-26
北海道,小樽市,other,2021-08-14,2021-08-26
北海道,旭川市,other,2021-08-14,2021-08-26
宮城県,仙台市,other,2021-04-05,2021-05-11
宮城県,仙台市,other,2021-08-20,2021-08-26
宮城県,仙台市,other,2021-09-13,2021-09-30
福島県,いわき市,other,2021-08-08,2021-09-30
福島県,郡山市,other,2021-08-23,2021-09-30
福島県,福島市,other,2021-08-26,2021-09-30
茨城県,水戸市,other,2021-08-08,2021-08-19
茨城県,土浦市,other,2021-08-08,2021-08-19
茨城県,古河市,other,2021-08-08,2021-08-19
茨城県,石岡市,other,2021-08-08,2021-08-19
茨城県,結城市,other,2021-08-08,2021-08-19
茨城県,龍ケ崎市,other,2021-08-08,2021-08-19
茨城県,下妻市,other,2021-08-08,2021-08-19
茨城県,常総市,other,2021-08-08,2021-08-19
茨城県,常陸太田市,other,2021-08-08,2021-08-19
茨城県,北茨城市,other,2021-08-08,2021-08-19
茨城県,笠間市,other,2021-08-08,2021-08-19
茨城県,取手市,other,2021-08-08,2021-08-19
茨城県,牛久市,other,2021-08-08,2021-08-19
茨城県,つくば市,other,2021-08-08,2021-08-19
茨城県,ひたちなか市,other,2021-08-08,2021-08-19
茨城県,鹿嶋市,other,2021-08-08,2021-08-19
茨城県,潮来市,other,2021-08-08,2021-08-19
茨城県,守谷市,other,2021-08-08,2021-08-19
茨城県,常陸大宮市,other,2021-08-08,2021-08-19
茨城県,那珂市,other,2021-08-08,2021-08-19
茨城県,筑西市,other,2021-08-08,2021-08-19
茨城県,坂東市,other,2021-08-08,2021-08-19
茨城県,稲敷市,other,2021-08-08,2021-08-19
茨城県,かすみがうら市,other,2021-08-08,2021-08-19
茨城県,桜川市,other,2021-08-08,2021-08-19
茨城県,神栖市,other,2021-08-08,2021-08-19
茨城県,行方市,other,2021-08-08,2021-08-19
茨城県,鉾田市,other,2021-08-08,2021-08-19
茨城県,つくばみらい市,other,2021-08-08,2021-08-19
茨城県,小美玉市,other,2021-08-08,2021-08-19
茨城県,東茨城郡茨城町,other,2021-08-08,2021-08-19
茨城県,那珂郡東海村,other,2021-08-08,2021-08-19
茨城県,稲敷郡美浦村,other,2021-08-08,2021-08-19
茨城県,稲敷郡阿見町,other,2021-08-08,2021-08-19
茨城県,結城郡八千代町,other,2021-08-08,2021-08-19
茨城県,猿島郡五霞町,other,2021-08-08,2021-08-19
茨城県,猿島郡境町,other,2021-08-08,2021-08-19
茨城県,北相馬郡利根町,other,2021-08-08,2021-08-19
茨城県,日立市,other,2021-08-15,2021-08-19
茨城県,大洗町,other,2021-08-15,2021-08-19
茨城県,城里町,other,2021-08-15,2021-08-19
茨城県,大子町,other,2021-08-15,2021-08-19
茨城県,河内町,other,2021-08-15,2021-08-19
栃木県,宇都宮市,other,2021-08-08,2021-08-19
栃木県,足利市,other,2021-08-08,2021-08-19
栃木県,栃木市,other,2021-08-08,2021-08-19
栃木県,佐野市,other,2021-08-08,2021-08-19
栃木県,鹿沼市,other,2021-08-08,2021-08-19
栃木県,日光市,other,2021-08-08,2021-08-19
栃木県,小山市,other,2021-08-08,2021-08-19
栃木県,真岡市,other,2021-08-08,2021-08-19
栃木県,大田原市,other,2021-08-08,2021-08-19
栃木県,矢板市,other,2021-08-08,2021-08-19
栃木県,那須塩原市,other,2021-08-08,2021-08-19
栃木県,さくら市,other,2021-08-08,2021-08-19
栃木県,那須烏山市,other,2021-08-08,2021-08-19
栃木県,下野市,other,2021-08-08,2021-08-19
栃木県,河内郡上三川町,other,2021-08-08,2021-08-19
栃木県,芳賀郡益子町,other,2021-08-08,2021-08-19
栃木県,芳賀郡市貝町,other,2021-08-08,2021-08-19
栃木県,芳賀郡芳賀町,other,2021-08-08,2021-08-19
栃木県,下都賀郡壬生町,other,2021-08-08,2021-08-19
栃木県,下都賀郡野木町,other,2021-08-08,2021-08-19
栃木県,塩谷郡塩谷町,other,2021-08-08,2021-08-19
栃木県,塩谷郡高根沢町,other,2021-08-08,2021-08-19
栃木県,那須郡那須町,other,2021-08-08,2021-08-19
栃木県,茂木市,other,2021-08-16,2021-08-19
群馬県,前橋市,other,2021-05-16,2021-06-13
群馬県,高崎市,other,2021-05-16,2021-06-13
群馬県,伊勢崎市,other,2021-05-16,2021-06-13
群馬県,太田市,other,2021-05-16,2021-06-13
群馬県,沼田市,other,2021-05-16,2021-06-13
群馬県,渋川市,other,2021-05-16,2021-06-13
群馬県,藤岡市,other,2021-05-16,2021-06-13
群馬県,富岡市,other,2021-05-16,2021-06-13
群馬県,安中市,other,2021-05-16,2021-06-13
群馬県,佐波郡玉村町,other,2021-05-16,2021-06-13
群馬県,前橋市,other,2021-08-08,2021-08-19
群馬県,高崎市,other,2021-08-08,2021-08-19
群馬県,桐生市,other,2021-08-08,2021-08-19
群馬県,伊勢崎市,other,2021-08-08,2021-08-19
群馬県,太田市,other,2021-08-08,2021-08-19
群馬県,沼田市,other,2021-08-08,2021-08-19
群馬県,館林市,other,2021-08-08,2021-08-19
群馬県,渋川市,other,2021-08-08,2021-08-19
群馬県,藤岡市,other,2021-08-08,2021-08-19
群馬県,富岡市,other,2021-08-08,2021-08-19
群馬県,安中市,other,2021-08-08,2021-08-19
群馬県,みどり市,other,2021-08-08,2021-08-19
群馬県,北群馬郡榛東村,other,2021-08-08,2021-08-19
群馬県,北群馬郡吉岡町,other,2021-08-08,2021-08-19
群馬県,佐波郡玉村町,other,2021-08-08,2021-08-19
群馬県,邑楽郡板倉町,other,2021-08-08,2021-08-19
群馬県,邑楽郡明和町,other,2021-08-08,2021-08-19
群馬県,邑楽郡千代田町,other,2021-08-08,2021-08-19
群馬県,邑楽郡大泉町,other,2021-08-08,2021-08-19
群馬県,邑楽郡邑楽町,other,2021-08-08,2021-08-19
埼玉県,さいたま市,other,2021-04-20,2021-08-01
埼玉県,川口市,other,2021-04-20,2021-08-01
埼玉県,川越市,other,2021-04-28,2021-06-20
埼玉県,所沢市,other,2021-04-28,2021-06-20
埼玉県,草加市,other,2021-04-28,2021-06-20
埼玉県,越谷市,other,2021-04-28,2021-06-20
埼玉県,蕨市,other,2021-04-28,2021-06-20
埼玉県,戸田市,other,2021-04-28,2021-06-20
埼玉県,朝霞市,other,2021-04-28,2021-06-20
埼玉県,志木市,other,2021-04-28,2021-06-20
埼玉県,和光市,other,2021-04-28,2021-06-20
埼玉県,新座市,other,2021-04-28,2021-06-20
埼玉県,富士見市,other,2021-04-28,2021-06-20
埼玉県,ふじみ野市,other,2021-04-28,2021-06-20
埼玉県,入間郡三芳町,other,2021-04-28,2021-06-20
埼玉県,川越市,other,2021-07-20,2021-08-01
埼玉県,所沢市,other,2021-07-20,2021-08-01
埼玉県,草加市,other,2021-07-20,2021-08-01
埼玉県,越谷市,other,2021-07-20,2021-08-01
埼玉県,蕨市,other,2021-07-20,2021-08-01
埼玉県,戸田市,other,2021-07-20,2021-08-01
埼玉県,朝霞市,other,2021-07-20,2021-08-01
埼玉県,志木市,other,2021-07-20,2021-08-01
埼玉県,和光市,other,2021-07-20,2021-08-01
埼玉県,新座市,other,2021-07-20,2021-08-01
埼玉県,富士見市,other,2021-07-20,2021-08-01
埼玉県,ふじみ野市,other,2021-07-20,2021-08-01
埼玉県,入間郡三芳町,other,2021-07-20,2021-08-01
埼玉県,春日部市,other,2021-07-20,2021-08-01
埼玉県,  八潮市,other,2021-07-20,2021-08-01
埼玉県,三郷市,other,2021-07-20,2021-08-01
埼玉県,鶴ヶ島市,other,2021-07-20,2021-08-01
埼玉県,北足立郡伊奈町,other,2021-07-20,2021-08-01
千葉県,市川市,other,2021-04-20,2021-08-01
千葉県,浦安市,other,2021-04-20,2021-08-01
千葉県,船橋市,other,2021-04-20,2021-08-01
