area,type,date_from,date_to
千葉県,prefecture,2020-04-07,2020-05-25
神奈川県,prefecture,2020-04-07,2020-05-25
東京都,prefecture,2020-04-07,2020-05-25
埼玉県,prefecture,2020-04-07,2020-05-25
大阪府,prefecture,2020-04-07,2020-05-21
兵庫県,prefecture,2020-04-07,2020-05-21
福岡県,prefecture,2020-04-07,2020-05-14
北海道,prefecture,2020-04-16,2020-05-25
京都府,prefecture,2020-04-16,2020-05-21
青森県,prefecture,2020-04-16,2020-05-14
岩手県,prefecture,2020-04-16,2020-05-14
宮城県,prefecture,2020-04-16,2020-05-14
秋田県,prefecture,2020-04-16,2020-05-14
山形県,prefecture,2020-04-16,2020-05-14
福島県,prefecture,2020-04-16,2020-05-14
茨城県,prefecture,2020-04-16,2020-05-14
栃木県,prefecture,2020-04-16,2020-05-14
群馬県,prefecture,2020-04-16,2020-05-14
新潟県,prefecture,2020-04-16,2020-05-14
富山県,prefecture,2020-04-16,2020-05-14
石川県,prefecture,2020-04-16,2020-05-14
福井県,prefecture,2020-04-16,2020-05-14
山梨県,prefecture,2020-04-16,2020-05-14
長野県,prefecture,2020-04-16,2020-05-14
岐阜県,prefecture,2020-04-16,2020-05-14
静岡県,prefecture,2020-04-16,2020-05-14
愛知県,prefecture,2020-04-16,2020-05-14
三重県,prefecture,2020-04-16,2020-05-14
滋賀県,prefecture,2020-04-16,2020-05-14
奈良県,prefecture,2020-04-16,2020-05-14
和歌山県,prefecture,2020-04-16,2020-05-14
鳥取県,prefecture,2020-04-16,2020-05-14
島根県,prefecture,2020-04-16,2020-05-14
岡山県,prefecture,2020-04-16,2020-05-14
広島県,prefecture,2020-04-16,2020-05-14
山口県,prefecture,2020-04-16,2020-05-14
徳島県,prefecture,2020-04-16,2020-05-14
香川県,prefecture,2020-04-16,2020-05-14
愛媛県,prefecture,2020-04-16,2020-05-14
高知県,prefecture,2020-04-16,2020-05-14
佐賀県,prefecture,2020-04-16,2020-05-14
長崎県,prefecture,2020-04-16,2020-05-14
熊本県,prefecture,2020-04-16,2020-05-14
大分県,prefecture,2020-04-16,2020-05-14
宮崎県,prefecture,2020-04-16,2020-05-14
鹿児島県,prefecture,2020-04-16,2020-05-14
沖縄県,prefecture,2020-04-16,2020-05-14
千葉県,prefecture,2021-01-08,2021-03-21
神奈川県,prefecture,2021-01-08,2021-03-21
埼玉県,prefecture,2021-01-08,2021-03-21
東京都,prefecture,2021-01-08,2021-03-21
栃木県,prefecture,2021-01-14,2021-02-07
愛知県,prefecture,2021-01-14,2021-02-28
岐阜県,prefecture,2021-01-14,2021-02-28
京都府,prefecture,2021-01-14,2021-02-28
大阪府,prefecture,2021-01-14,2021-02-28
兵庫県,prefecture,2021-01-14,2021-02-28
福岡県,prefecture,2021-01-14,2021-02-28
東京都,prefecture,2021-04-25,2021-06-20
大阪府,prefecture,2021-04-25,2021-06-20
京都府,prefecture,2021-04-25,2021-06-20
兵庫県,prefecture,2021-04-25,2021-06-20
愛知県,prefecture,2021-05-12,2021-06-20
福岡県,prefecture,2021-05-12,2021-06-20
北海道,prefecture,2021-05-16,2021-06-20
岡山県,prefecture,2021-05-16,2021-06-20
広島県,prefecture,2021-05-16,2021-06-20
沖縄県,prefecture,2021-05-23,2021-09-30
東京都,prefecture,2021-07-12,2021-09-30
埼玉県,prefecture,2021-08-02,2021-09-30
千葉県,prefecture,2021-08-02,2021-09-30
神奈川県,prefecture,2021-08-02,2021-09-30
大阪府,prefecture,2021-08-02,2021-09-30
茨城県,prefecture,2021-08-20,2021-09-30
栃木県,prefecture,2021-08-20,2021-09-30
群馬県,prefecture,2021-08-20,2021-09-30
静岡県,prefecture,2021-08-20,2021-09-30
京都府,prefecture,2021-08-20,2021-09-30
兵庫県,prefecture,2021-08-20,2021-09-30
福岡県,prefecture,2021-08-20,2021-09-30
宮城県,prefecture,2021-08-27,2021-09-12
岡山県,prefecture,2021-08-27,2021-09-12
北海道,prefecture,2021-08-27,2021-09-30
岐阜県,prefecture,2021-08-27,2021-09-30
愛知県,prefecture,2021-08-27,2021-09-30
三重県,prefecture,2021-08-27,2021-09-30
滋賀県,prefecture,2021-08-27,2021-09-30
広島県,prefecture,2021-08-27,2021-09-30
